chem_id,smiles,T
chemical_070_4,O=P(OCC)(C#N)N(C)C,20
chemical_070_5,O=P(OCC)(C#N)N(C)C,30
chemical_071_1,CP(OC(C)C)(F)=O,-10
chemical_071_2,CP(OC(C)C)(F)=O,0
chemical_071_3,CP(OC(C)C)(F)=O,10
chemical_071_4,CP(OC(C)C)(F)=O,20
chemical_071_5,CP(OC(C)C)(F)=O,30
chemical_072_1,CP(OC(C(C)(C)C)C)(F)=O,-10
chemical_072_2,CP(OC(C(C)(C)C)C)(F)=O,0
chemical_072_3,CP(OC(C(C)(C)C)C)(F)=O,10
chemical_072_4,CP(OC(C(C)(C)C)C)(F)=O,20
chemical_072_5,CP(OC(C(C)(C)C)C)(F)=O,30
chemical_073_1,CP(OC1CCCCC1)(F)=O,-10
chemical_073_2,CP(OC1CCCCC1)(F)=O,0
chemical_073_3,CP(OC1CCCCC1)(F)=O,10
chemical_073_4,CP(OC1CCCCC1)(F)=O,20
chemical_073_5,CP(OC1CCCCC1)(F)=O,30
chemical_074_1,CP(SCCN(C(C)C)C(C)C)(OCC)=O,-10
chemical_074_2,CP(SCCN(C(C)C)C(C)C)(OCC)=O,0
chemical_074_3,CP(SCCN(C(C)C)C(C)C)(OCC)=O,10
chemical_074_4,CP(SCCN(C(C)C)C(C)C)(OCC)=O,20
chemical_074_5,CP(SCCN(C(C)C)C(C)C)(OCC)=O,30
chemical_075_1,CP(SCCN(C)C)(OCC)=O,-10
chemical_075_2,CP(SCCN(C)C)(OCC)=O,0
chemical_075_3,CP(SCCN(C)C)(OCC)=O,10
chemical_075_4,CP(SCCN(C)C)(OCC)=O,20
chemical_075_5,CP(SCCN(C)C)(OCC)=O,30
chemical_076_1,O=P([H])(OC)OC,-10
chemical_076_2,O=P([H])(OC)OC,0
chemical_076_3,O=P([H])(OC)OC,10
chemical_076_4,O=P([H])(OC)OC,20
chemical_076_5,O=P([H])(OC)OC,30
chemical_077_1,O=P(C)(OC)OC,-10
chemical_077_2,O=P(C)(OC)OC,0
chemical_077_3,O=P(C)(OC)OC,10
chemical_077_4,O=P(C)(OC)OC,20
chemical_077_5,O=P(C)(OC)OC,30
chemical_078_1,O=P(C)(OCC)OCC,-10
chemical_078_2,O=P(C)(OCC)OCC,0
chemical_078_3,O=P(C)(OCC)OCC,10
chemical_078_4,O=P(C)(OCC)OCC,20
chemical_078_5,O=P(C)(OCC)OCC,30
chemical_079_1,O=P(C)(OCCC)OCCC,-10
chemical_079_2,O=P(C)(OCCC)OCCC,0
chemical_079_3,O=P(C)(OCCC)OCCC,10
chemical_079_4,O=P(C)(OCCC)OCCC,20
chemical_079_5,O=P(C)(OCCC)OCCC,30
chemical_080_1,ClCCSCCCl,-10
chemical_080_2,ClCCSCCCl,0
chemical_080_3,ClCCSCCCl,10
chemical_080_4,ClCCSCCCl,20
chemical_080_5,ClCCSCCCl,30
chemical_081_1,Cl[As](/C=C/Cl)Cl,-10
chemical_081_2,Cl[As](/C=C/Cl)Cl,0
chemical_081_3,Cl[As](/C=C/Cl)Cl,10
chemical_081_4,Cl[As](/C=C/Cl)Cl,20
chemical_081_5,Cl[As](/C=C/Cl)Cl,30
chemical_082_1,ClCCSCCOCCSCCCl,-10
chemical_082_2,ClCCSCCOCCSCCCl,0
chemical_082_3,ClCCSCCOCCSCCCl,10
chemical_082_4,ClCCSCCOCCSCCCl,20
chemical_082_5,ClCCSCCOCCSCCCl,30
chemical_083_1,ClCCN(CCCl)CCCl,-10
chemical_083_2,ClCCN(CCCl)CCCl,0
chemical_083_3,ClCCN(CCCl)CCCl,10
chemical_083_4,ClCCN(CCCl)CCCl,20
chemical_083_5,ClCCN(CCCl)CCCl,30
chemical_084_1,CP(OCC)(F)=O,25
chemical_085_1,CCP(OC(C)C)(F)=O,-10
chemical_085_2,CCP(OC(C)C)(F)=O,0
chemical_085_3,CCP(OC(C)C)(F)=O,10
chemical_085_4,CCP(OC(C)C)(F)=O,20
chemical_085_5,CCP(OC(C)C)(F)=O,30
chemical_086_1,O=P(OC(C)CC(C)C)(C)F,-10
chemical_086_2,O=P(OC(C)CC(C)C)(C)F,0
chemical_086_3,O=P(OC(C)CC(C)C)(C)F,10
chemical_086_4,O=P(OC(C)CC(C)C)(C)F,20
chemical_086_5,O=P(OC(C)CC(C)C)(C)F,30
chemical_087_1,CP(OCC(C)(C)C)(F)=O,25
chemical_088_1,CP(OCC(CC)CCCC)(F)=O,25
chemical_089_1,CP(OCCOC1=CC=CC=C1)(F)=O,25
chemical_090_1,CP(OC)(F)=O,25
chemical_091_1,O=P(N(C)C)(C#N)OCCCl,30
chemical_092_1,O=P(C#N)(N(CC)CC)OC,30
chemical_093_1,CP(OC1CCCC1)(F)=O,-10
chemical_093_2,CP(OC1CCCC1)(F)=O,0
chemical_093_3,CP(OC1CCCC1)(F)=O,10
chemical_093_4,CP(OC1CCCC1)(F)=O,20
chemical_093_5,CP(OC1CCCC1)(F)=O,30
chemical_094_1,CP(OCC(C)C)(F)=O,25
chemical_095_1,FP(C)(F)=O,-10
chemical_095_2,FP(C)(F)=O,0
chemical_095_3,FP(C)(F)=O,10
chemical_095_4,FP(C)(F)=O,20
chemical_095_5,FP(C)(F)=O,30
chemical_096_1,CP(OC(C)CC)(F)=O,25
chemical_097_1,CP(OCCCC)(F)=O,25
chemical_098_1,CP(OCCC)(F)=O,25
chemical_099_1,CP(OCCCCCC)(F)=O,25
chemical_100_1,CP(OCCCCCCCCCC)(F)=O,25
chemical_101_1,CP(OC(CC(C)C)CC(C)C)(F)=O,25
chemical_102_1,CP(OC(C)CCC)(F)=O,-10
chemical_102_2,CP(OC(C)CCC)(F)=O,0
chemical_102_3,CP(OC(C)CCC)(F)=O,10
chemical_102_4,CP(OC(C)CCC)(F)=O,20
chemical_102_5,CP(OC(C)CCC)(F)=O,30
chemical_103_1,CP(OC1C(C)CCCC1)(F)=O,-10
chemical_103_2,CP(OC1C(C)CCCC1)(F)=O,0
chemical_103_3,CP(OC1C(C)CCCC1)(F)=O,10
chemical_103_4,CP(OC1C(C)CCCC1)(F)=O,20
chemical_103_5,CP(OC1C(C)CCCC1)(F)=O,30
chemical_104_1,CP(SCCN(CC)CC)(OCC)=O,25
chemical_105_1,CP(SCCN(C)C)(OCC)=O,-10
chemical_105_2,CP(SCCN(C)C)(OCC)=O,0
chemical_105_3,CP(SCCN(C)C)(OCC)=O,10
chemical_105_4,CP(SCCN(C)C)(OCC)=O,20
chemical_105_5,CP(SCCN(C)C)(OCC)=O,30
chemical_106_1,CP(OCC)OCCN(C(C)C)C(C)C,-10
